NtsbCaseNumber,EventType,EventDate,AircraftDamage,ProbableCause,Latitude,Longitude,char_count,word_count,Category,Country,CountryCode,State
FTW93LA031,Accident,1992-11-03 21:24:00.000000 +00:00,Substantial,THE PILOT'S FAILURE TO FOLLOW PUBLISHED FUEL SYSTEM SUMPING PROCEDURES BEFORE FLIGHT AND TOTAL LOSS OF POWER DUE TO WATER CONTAMINATED FUEL. FACTORS WERE THE DRIZZLE AND ICING CONDITIONS AND THE LACK OF SUITABLE TERRAIN.,30.889991,-102.879776,220,35,Pilot Error,US,US,TX
ANC04FA049,Accident,2004-04-30 19:20:00.000000 +00:00,Substantial,"The pilot's continued VFR flight into instrument meteorological conditions (IMC), and his spatial disorientation and loss of control during a subsequent landing.  Factors associated with the accident are flat light and whiteout conditions, fog, and snow-covered terrain.",69.466667,-149.78334,270,37,Pilot Error,US,US,AK
CHI93LA376,Accident,1993-09-26 11:20:00.000000 +00:00,Substantial,an improper climb airspeed established by the  pilot-in-command after banner pickup.,41.600185,-87.409591,84,11,Pilot Error,US,US,IN
ANC92LA160,Accident,1992-09-02 12:00:00.000000 +00:00,Substantial,THE INADEQUATE PREFLIGHT PLANNING/PREPARATION BY THE PILOT. A FACTOR WAS THE PILOT MISJUDGED HIS CLEARANCE FROM THE TREES.,55.919219,-159.490951,122,18,Pilot Error,US,US,AK
SEA89FA041,Accident,1989-01-29 11:06:00.000000 +00:00,Substantial,THE FAILURE OF THE PILOT TO MAINTAIN ADEQUATE AIRSPEED AND AIRPLANE CONTROL. CONTRIBUTING TO THE ACCIDENT WAS THE MOUNTAINOUS TERRAIN AND MOUNTAIN WAVE CONDITIONS.,39.009426,-119.749397,163,24,Pilot Error,US,US,NV
NYC02LA125,Accident,2002-06-26 11:50:00.000000 +00:00,Substantial,"The pilot's failure to maintain proper airspeed, which resulted in a stall/mush into a corn field.  A factor was the high density altitude.",39.916942,-76.867225,139,23,Pilot Error,US,US,PA
FTW98LA212,Accident,1998-05-10 11:45:00.000000 +00:00,Substantial,"inadequate supervision by the flight instructor (CFI), by failing to ensure that the student obtained and/or maintained sufficient airspeed, which led to an inadvertent stall and collision with the terrain.",30.65043,-97.750732,206,30,Pilot Error,US,US,TX
WPR22LA090,Accident,2022-01-28 15:25:00.000000 +00:00,Substantial,"The inadequate maintenance and inspection of the engine induction system, which resulted in the separation of the right induction tube from the turbocharger compressor outlet and the subsequent loss of engine power during departure.",40.809411,-120.36549,232,34,Maintenance / Inspection Issues,US,US,CA
IAD04FA031,Accident,2004-07-11 14:26:00.000000 +00:00,Substantial,"The pilot's occluded left main coronary artery, which resulted in a massive heart attack and sudden death in flight.",43.222221,-74.118614,116,19,Pilot Error,US,US,NY
SEA93LA172,Accident,1993-08-08 20:25:00.000000 +00:00,Substantial,JAMMING OF THE NOSE LANDING GEAR ASSEMBLY AND THE PILOT-IN-COMMAND NOT MAINTAINING THE PROPER GLIDEPATH DURING THE NOSE GEAR UP LANDING.,45.57024,-122.589706,136,21,Mechanical Failure,US,US,OR
FTW94LA219,Accident,1994-07-01 07:30:00.000000 +00:00,Substantial,A TOTAL FAILURE OF THE BALLOON'S HEATER SYSTEM (PILOT LIGHT) FOR UNDETERMINED REASONS. A FACTOR WAS UNSUITABLE TERRAIN ON WHICH TO MAKE A FORCED LANDING.,39.569091,-105.139595,153,25,Mechanical Failure,US,US,CO
CHI06CA114,Accident,2006-04-12 12:00:00.000000 +00:00,Substantial,The pilot's failure to maintain directional control during takeoff.  A related factor was the high wind condition.,48.618331,-97.175834,114,17,Pilot Error,US,US,ND
CEN18LA311,Accident,2018-08-02 10:35:00.000000 +00:00,Substantial,A partial loss of engine power for reasons that could not be determined because a postaccident examination revealed no evidence of preimpact mechanical malfunctions or failures that would have precluded normal operation.,46.814167,-94.408607,220,32,Other,US,US,MN
LAX98LA249,Accident,1998-07-29 22:48:00.000000 +00:00,Destroyed,The pilot's delayed initiation of a go-around when the severity of the dust condition first became apparent. Contributing factors were dark night conditions and the obscuration from the dust.,36.650932,-120.279838,191,29,Pilot Error,US,US,CA
ERA16LA291,Accident,2016-08-13 12:03:00.000000 +00:00,Substantial,"The pilot's inadequate in-flight fuel management, which resulted in fuel exhaustion and the subsequent total loss of engine power.",40.284999,-74.222778,130,19,Pilot Error,US,US,NJ
GAA18CA545,Accident,2018-09-08 11:45:00.000000 +00:00,Substantial,"The pilot’s improper hand propping procedure, which resulted in a runaway airplane and subsequent impact with a hangar.",43.153057,-93.336112,119,18,Pilot Error,US,US,IA
LAX98LA186,Accident,1998-06-07 11:17:00.000000 +00:00,Substantial,The certified flight instructor's inadequate preflight which led to fuel exhaustion and subsequent loss of engine power.  A related factor was the unsuitable terrain.,32.790721,-116.959945,166,24,Pilot Error,US,US,CA
WPR14LA335,Accident,2014-08-10 07:23:00.000000 +00:00,Substantial,A loss of engine power during initial climb for reasons that could not be determined because postaccident examination did not reveal any anomalies that would have precluded normal operation.,45.131389,-113.881942,190,29,Other,US,US,ID
ANC20LA077,Accident,2020-08-05 13:30:00.000000 +00:00,Substantial,"The pilot’s improper decision to place a passenger and baggage in the rear baggage compartment, which resulted in an aft center of gravity, an increase in directional instability, and affected the pilot’s ability to maintain directional control, resulting in a ground loop during the landing roll.",60.579723,-151.24417,297,46,Pilot Error,US,US,AK
MIA97LA190,Accident,1997-06-20 18:40:00.000000 +00:00,Substantial,"failure of the distributor drive gear in the right magneto, resulting in loss of engine power and a forced landing. The lack of suitable terrain for a forced landing was a related factor.",32.329807,-90.600341,187,33,Mechanical Failure,US,US,MS
GAA17CA150,Accident,2017-02-06 17:00:00.000000 +00:00,Substantial,"The pilot’s descent below the minimum descent altitude during a nonprecision approach, which resulted in a tree strike.",36.773887,-90.324722,119,18,Pilot Error,US,US,MO
SEA89LA162,Accident,1989-09-04 15:00:00.000000 +00:00,Substantial,FUEL EXHAUSTION DUE TO THE PILOT'S INACCURATE FUEL CONSUMPTION CALCULATIONS. CONTRIBUTING TO THE ACCIDENT WAS A FENCE.,43.679313,-113.589958,118,17,Pilot Error,US,US,ID
CEN17LA073,Accident,2017-01-07 11:00:00.000000 +00:00,Substantial,A partial loss of engine power due to fuel contamination from an undetermined source.,40.042778,-107.183052,85,14,Mechanical Failure,US,US,CO
WPR11LA080,Accident,2010-12-23 15:21:00.000000 +00:00,Substantial,The pilot's failure to recognize the onset of and to prevent an aerodynamic stall at low altitude. Contributing to the accident were the manufacturer’s conflicting guidance about the power setting for takeoff and the pilot’s decision to conduct a partial-power takeoff.,33.525001,-112.291664,269,41,Pilot Error,US,US,AZ
LAX08CA129,Accident,2008-05-03 15:00:00.000000 +00:00,Substantial,The pilot's failure to maintain directional control.,37.278331,-110.566665,52,7,Pilot Error,US,US,UT
ERA13CA142,Accident,2013-02-21 19:08:00.000000 +00:00,Substantial,"The pilot's improper in-flight planning and decision making, which resulted in attempted visual flight in night instrument meteorological conditions and subsequent impact with terrain.",44.313056,-74.031112,184,24,Pilot Error,US,US,NY
SEA05LA121,Accident,2005-06-20 09:30:00.000000 +00:00,Substantial,"While in cruise flight a separation of a propeller blade as a result of a propeller hub crack.  Factors contributing to the accident included the installation of an unapproved propeller, and the failure to properly service the propeller with red dyed oil for crack protection.",47.863887,-104.633056,276,45,Maintenance / Inspection Issues,US,US,MT
FTW00LA249,Accident,2000-09-05 16:15:00.000000 +00:00,Substantial,The pilot's inadequate compensation for wind conditions. Factors were the gusty crosswind and the pilot's failure to perform a go-around upon encountering a windshift/crosswind.,31.710735,-96.160705,177,24,Pilot Error,US,US,TX
WPR21LA343,Accident,2021-08-30 13:40:00.000000 +00:00,Substantial,"The pilot’s failure to monitor the environment and maintain a proper glidepath on approach which,  resulted in a collision with the airport perimeter fence.",33.872014,-117.97978,156,24,Pilot Error,US,US,CA
ATL89FA139,Accident,1989-04-29 09:00:00.000000 +00:00,Substantial,"THE PILOT'S FLIGHT INTO KNOWN ADVERSE WEATHER, AND HIS FAILURE TO MAINTAIN CLEARANCE ABOVE THE WOODED TERRAIN.  THE ADVERSE WEATHER CONDITION, HIGH TERRAIN, AND TREES WERE RELATED FACTORS.",34.729305,-84.059822,188,28,Pilot Error,US,US,GA
DFW07IA018,Incident,2006-10-06 13:45:00.000000 +00:00,Minor,A fire in the baggage area for undetermined reasons.,29.969259,-92.119491,52,9,Other,US,US,LA
ANC22LA035,Accident,2022-05-24 15:10:00.000000 +00:00,Substantial,"The pilot’s failure to determine the actual weight and balance of the airplane before departure, which resulted in the airplane being operated outside of the aft center of gravity limits and the subsequent aerodynamic stall on final approach. Contributing to the accident was the Federal Aviation Administration's failure to require weight and balance documentation for 14 Code of Federal Regulations Part 135 single-engine operations.",59.164333,-138.4888,435,64,Pilot Error,US,US,AK
NYC07FA159,Accident,2007-07-08 16:02:00.000000 +00:00,Substantial,"The pilot's failure to maintain aircraft control during the aborted landing. Contributing to the accident was the exceedance of the airplane's maximum gross weight, and the pilot's inadequate preflight planning.",38.039443,-85.79,211,30,Pilot Error,US,US,KY
GAA16CA405,Accident,2016-07-29 07:05:00.000000 +00:00,Destroyed,"The pilot and ground crew's failure to visually inspect the helicopter's skids before takeoff, which resulted in a water hose becoming entangled on the right skid, a loss of control, an impact with terrain, and a post-crash fire.",46.319721,-120.05722,229,38,Maintenance / Inspection Issues,US,US,WA
WPR12CA168,Accident,2012-04-17 10:10:00.000000 +00:00,Substantial,The pilot’s failure to lower the nose landing gear in time to prevent it from slamming onto the runway and collapsing.,32.446945,-111.002777,118,21,Pilot Error,US,US,AZ
NYC96GA083,Accident,1996-04-04 11:19:00.000000 +00:00,Substantial,"the helicopter manufacturer's inadequate maintenance service bulletin inspection interval which failed to provide timely detection of preexisting fatigue cracks in the tail boom.  Factors were: the manufacturer's failure to develop a modification of the failed area, and the failure of the FAA certification office to monitor and act upon the significant number of reports of tail boom cracking that were reported by industry.",38.310569,-81.750114,426,63,Maintenance / Inspection Issues,US,US,WV
DEN00LA012,Accident,1999-10-28 15:05:00.000000 +00:00,Substantial,"The pilot's failure to maintain aircraft control, and the pilot's inadequate decision to attempt the takeoff.  Factors were the strong left rear cross wind, and the dirt embankment.",36.390193,-105.270591,181,28,Pilot Error,US,US,NM
